Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,NO2,31/01/2020 00:00,24.80000,ug m-3,P
BL0,NOX,01/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,02/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,03/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,04/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,05/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,06/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,07/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,08/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,09/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,10/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,11/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,12/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,13/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,14/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,15/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,16/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,17/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,18/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,19/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,20/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,21/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,22/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,23/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,24/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,25/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,26/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,27/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,28/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,29/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,30/01/2020 00:00,,ug m-3 as NO2,P
BL0,NOX,31/01/2020 00:00,,ug m-3 as NO2,P
BL0,O3,01/01/2020 00:00,9.10000,ug m-3,P
BL0,O3,02/01/2020 00:00,39.00000,ug m-3,P
BL0,O3,03/01/2020 00:00,32.60000,ug m-3,P
BL0,O3,04/01/2020 00:00,23.90000,ug m-3,P
BL0,O3,05/01/2020 00:00,49.70000,ug m-3,P
BL0,O3,06/01/2020 00:00,47.00000,ug m-3,P
BL0,O3,07/01/2020 00:00,37.60000,ug m-3,P
BL0,O3,08/01/2020 00:00,31.70000,ug m-3,P
BL0,O3,09/01/2020 00:00,46.90000,ug m-3,P
BL0,O3,10/01/2020 00:00,32.10000,ug m-3,P
BL0,O3,11/01/2020 00:00,60.10000,ug m-3,P
BL0,O3,12/01/2020 00:00,53.70000,ug m-3,P
BL0,O3,13/01/2020 00:00,55.40000,ug m-3,P
BL0,O3,14/01/2020 00:00,58.50000,ug m-3,P
BL0,O3,15/01/2020 00:00,43.70000,ug m-3,P
BL0,O3,16/01/2020 00:00,42.90000,ug m-3,P
BL0,O3,17/01/2020 00:00,43.30000,ug m-3,P
BL0,O3,18/01/2020 00:00,19.40000,ug m-3,P
BL0,O3,19/01/2020 00:00,17.60000,ug m-3,P
BL0,O3,20/01/2020 00:00,2.90000,ug m-3,P
BL0,O3,21/01/2020 00:00,2.90000,ug m-3,P
BL0,O3,22/01/2020 00:00,,ug m-3,P
BL0,O3,23/01/2020 00:00,,ug m-3,P
BL0,O3,24/01/2020 00:00,10.10000,ug m-3,P
BL0,O3,25/01/2020 00:00,25.40000,ug m-3,P
BL0,O3,26/01/2020 00:00,37.90000,ug m-3,P
BL0,O3,27/01/2020 00:00,45.90000,ug m-3,P
BL0,O3,28/01/2020 00:00,44.10000,ug m-3,P
BL0,O3,29/01/2020 00:00,43.50000,ug m-3,P
BL0,O3,30/01/2020 00:00,35.80000,ug m-3,P
BL0,O3,31/01/2020 00:00,44.40000,ug m-3,P
BL0,PM10,01/01/2020 00:00,39.50000,ug/m3,P
BL0,PM10,02/01/2020 00:00,11.90000,ug/m3,P
BL0,PM10,03/01/2020 00:00,10.50000,ug/m3,P
BL0,PM10,04/01/2020 00:00,11.60000,ug/m3,P
BL0,PM10,05/01/2020 00:00,7.10000,ug/m3,P
BL0,PM10,06/01/2020 00:00,13.20000,ug/m3,P
BL0,PM10,07/01/2020 00:00,16.40000,ug/m3,P
